id,deep,deep_allowed,deepNet,result,ppda_cal,allowed_ppda,ppdaNet,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,ShotNet,STNet,FNet,CNet,YNet,RNet,HtrgPerc,AtrgPerc,PercNet
350,1,9,-8,w,20.22222222,8.533333333,11.68888889,9,2,6,4,1,0,7,2,11,3,3,0,2,0,-5,1,-2,0,0.222222222,0.285714286,-0.063492064
351,5,6,-1,w,12,10.4375,1.5625,19,6,16,7,2,0,17,8,15,5,1,0,2,-2,1,2,1,0,0.315789474,0.470588235,-0.154798761
352,2,4,-2,w,9.461538462,14.58823529,-5.126696828,13,7,7,3,2,0,14,4,14,11,4,0,-1,3,-7,-8,-2,0,0.538461538,0.285714286,0.252747252
353,0,17,-17,l,32.91666667,8.625,24.29166667,23,12,14,6,2,0,5,2,9,1,2,0,18,10,5,5,0,0,0.52173913,0.4,0.12173913
354,17,0,17,w,8.625,32.91666667,-24.29166667,23,12,14,6,2,0,5,2,9,1,2,0,18,10,5,5,0,0,0.52173913,0.4,0.12173913
355,8,8,0,l,5.416666667,8.875,-3.458333333,11,3,16,3,3,0,17,8,11,5,1,0,-6,-5,5,-2,2,0,0.272727273,0.470588235,-0.197860962
356,8,8,0,w,8.875,5.416666667,3.458333333,11,3,16,3,3,0,17,8,11,5,1,0,-6,-5,5,-2,2,0,0.272727273,0.470588235,-0.197860962
357,8,7,1,w,10.4,12.7826087,-2.3826087,5,1,9,3,4,1,13,3,11,5,3,0,-8,-2,-2,-2,1,1,0.2,0.230769231,-0.030769231
358,7,8,-1,l,12.7826087,10.4,2.3826087,5,1,9,3,4,1,13,3,11,5,3,0,-8,-2,-2,-2,1,1,0.2,0.230769231,-0.030769231
359,2,7,-5,l,9.692307692,10.125,-0.432692308,11,5,10,9,4,0,11,5,9,2,2,0,0,0,1,7,2,0,0.454545455,0.454545455,0
360,7,2,5,w,10.125,9.692307692,0.432692308,11,5,10,9,4,0,11,5,9,2,2,0,0,0,1,7,2,0,0.454545455,0.454545455,0
361,13,9,4,d,7.653846154,23.8,-16.14615385,12,4,5,8,4,0,17,2,13,3,4,0,-5,2,-8,5,0,0,0.333333333,0.117647059,0.215686274
362,4,3,1,w,11.52173913,9.222222222,2.299516908,11,2,15,5,2,0,16,6,12,8,3,0,-5,-4,3,-3,-1,0,0.181818182,0.375,-0.193181818
363,9,13,-4,d,23.8,7.653846154,16.14615385,12,4,5,8,4,0,17,2,13,3,4,0,-5,2,-8,5,0,0,0.333333333,0.117647059,0.215686274
364,1,2,-1,l,13.08333333,5.526315789,7.557017541,21,5,15,10,0,0,6,0,14,2,0,0,15,5,1,8,0,0,0.238095238,0,0.238095238
365,10,2,8,l,5.111111111,12.53571429,-7.424603179,10,3,10,8,3,0,5,3,9,1,2,0,5,0,1,7,1,0,0.3,0.6,-0.3
366,12,8,4,w,9.941176471,9.909090909,0.032085562,13,4,5,7,0,0,10,2,10,6,2,0,3,2,-5,1,-2,0,0.307692308,0.2,0.107692308
367,2,1,1,w,5.526315789,13.08333333,-7.557017541,21,5,15,10,0,0,6,0,14,2,0,0,15,5,1,8,0,0,0.238095238,0,0.238095238
368,3,4,-1,l,9.222222222,11.52173913,-2.299516908,11,2,15,5,2,0,16,6,12,8,3,0,-5,-4,3,-3,-1,0,0.181818182,0.375,-0.193181818
369,6,6,0,d,13.2,20.42857143,-7.22857143,16,4,11,9,1,0,5,2,8,1,3,0,11,2,3,8,-2,0,0.25,0.4,-0.15
370,2,10,-8,w,12.53571429,5.111111111,7.424603179,10,3,10,8,3,0,5,3,9,1,2,0,5,0,1,7,1,0,0.3,0.6,-0.3
371,6,6,0,d,20.42857143,13.2,7.22857143,16,4,11,9,1,0,5,2,8,1,3,0,11,2,3,8,-2,0,0.25,0.4,-0.15
372,8,12,-4,l,9.909090909,9.941176471,-0.032085562,13,4,5,7,0,0,10,2,10,6,2,0,3,2,-5,1,-2,0,0.307692308,0.2,0.107692308
373,6,4,2,w,5.518518519,40.45454545,-34.93602693,22,10,10,5,2,0,7,2,7,0,2,0,15,8,3,5,0,0,0.454545455,0.285714286,0.168831169
374,4,6,-2,l,40.45454545,5.518518519,34.93602693,22,10,10,5,2,0,7,2,7,0,2,0,15,8,3,5,0,0,0.454545455,0.285714286,0.168831169
375,3,6,-3,l,20.47058824,11.43478261,9.03580563,3,0,5,2,1,0,15,6,7,8,1,0,-12,-6,-2,-6,0,0,0,0.4,-0.4
376,6,3,3,w,11.43478261,20.47058824,-9.03580563,3,0,5,2,1,0,15,6,7,8,1,0,-12,-6,-2,-6,0,0,0,0.4,-0.4
377,1,4,-3,l,18.8,13.05882353,5.74117647,20,8,7,3,0,0,7,3,13,1,1,1,13,5,-6,2,-1,-1,0.4,0.428571429,-0.028571429
378,4,1,3,w,13.05882353,18.8,-5.74117647,20,8,7,3,0,0,7,3,13,1,1,1,13,5,-6,2,-1,-1,0.4,0.428571429,-0.028571429
379,5,11,-6,l,17.125,9.375,7.75,16,6,8,9,0,0,10,2,11,2,2,0,6,4,-3,7,-2,0,0.375,0.2,0.175
380,11,5,6,w,9.375,17.125,-7.75,16,6,8,9,0,0,10,2,11,2,2,0,6,4,-3,7,-2,0,0.375,0.2,0.175
381,6,8,-2,l,16,8.76,7.24,20,6,16,6,3,1,11,2,9,3,1,0,9,4,7,3,2,1,0.3,0.181818182,0.118181818
382,2,4,-2,d,19.35714286,5.411764706,13.94537815,14,5,13,12,1,0,5,2,7,4,2,0,9,3,6,8,-1,0,0.357142857,0.4,-0.042857143
383,6,6,0,w,8.5,14.70588235,-6.20588235,20,5,13,5,2,0,22,9,13,8,2,0,-2,-4,0,-3,0,0,0.25,0.409090909,-0.159090909
384,6,6,0,l,14.70588235,8.5,6.20588235,20,5,13,5,2,0,22,9,13,8,2,0,-2,-4,0,-3,0,0,0.25,0.409090909,-0.159090909
385,4,2,2,d,5.411764706,19.35714286,-13.94537815,14,5,13,12,1,0,5,2,7,4,2,0,9,3,6,8,-1,0,0.357142857,0.4,-0.042857143
386,8,6,2,w,8.76,16,-7.24,20,6,16,6,3,1,11,2,9,3,1,0,9,4,7,3,2,1,0.3,0.181818182,0.118181818
387,8,7,1,w,7.590909091,8.941176471,-1.35026738,14,4,16,5,4,0,13,8,4,5,1,0,1,-4,12,0,3,0,0.285714286,0.615384615,-0.329670329
388,4,11,-7,d,8.466666667,9.8,-1.333333333,5,2,12,4,3,0,15,7,10,6,3,0,-10,-5,2,-2,0,0,0.4,0.466666667,-0.066666667
389,11,4,7,d,9.8,8.466666667,1.333333333,5,2,12,4,3,0,15,7,10,6,3,0,-10,-5,2,-2,0,0,0.4,0.466666667,-0.066666667
390,7,8,-1,l,8.941176471,7.590909091,1.35026738,14,4,16,5,4,0,13,8,4,5,1,0,1,-4,12,0,3,0,0.285714286,0.615384615,-0.329670329
391,3,9,-6,l,13.5,8.333333333,5.166666667,8,1,17,5,4,0,14,5,10,4,3,0,-6,-4,7,1,1,0,0.125,0.357142857,-0.232142857
392,9,3,6,w,8.333333333,13.5,-5.166666667,8,1,17,5,4,0,14,5,10,4,3,0,-6,-4,7,1,1,0,0.125,0.357142857,-0.232142857
393,7,8,-1,l,14.04347826,6.894736842,7.148741418,7,2,13,2,5,0,13,4,19,3,4,0,-6,-2,-6,-1,1,0,0.285714286,0.307692308,-0.021978022
394,8,7,1,w,6.894736842,14.04347826,-7.148741418,7,2,13,2,5,0,13,4,19,3,4,0,-6,-2,-6,-1,1,0,0.285714286,0.307692308,-0.021978022
395,14,3,11,w,6.266666667,21.33333333,-15.06666666,10,3,7,5,1,0,10,2,3,6,0,0,0,1,4,-1,1,0,0.3,0.2,0.1
396,3,14,-11,l,21.33333333,6.266666667,15.06666666,10,3,7,5,1,0,10,2,3,6,0,0,0,1,4,-1,1,0,0.3,0.2,0.1
397,9,2,7,w,10.92307692,34.57142857,-23.64835165,16,4,5,8,1,0,8,0,6,5,1,0,8,4,-1,3,0,0,0.25,0,0.25
398,2,9,-7,l,34.57142857,10.92307692,23.64835165,16,4,5,8,1,0,8,0,6,5,1,0,8,4,-1,3,0,0,0.25,0,0.25
399,5,9,-4,w,26.5,7.944444444,18.55555556,20,1,12,8,1,0,11,6,10,4,1,0,9,-5,2,4,0,0,0.05,0.545454545,-0.495454545
400,10,7,3,d,12.14814815,8.53125,3.61689815,16,5,8,5,2,0,16,5,15,3,3,0,0,0,-7,2,-1,0,0.3125,0.3125,0
401,9,5,4,l,7.944444444,26.5,-18.55555556,20,1,12,8,1,0,11,6,10,4,1,0,9,-5,2,4,0,0,0.05,0.545454545,-0.495454545
